Salary,YearsCode,EdLevel,RemoteWork,Is_USA
75601.0,20.0,Bachelors,Hybrid,0
91295.0,15.0,Masters,Hybrid,0
134258.0,23.0,Bachelors,Hybrid,0
132000.0,10.0,Bachelors,Hybrid,1
80555.0,20.0,Bachelors,Remote,0
140000.0,19.0,Bachelors,Remote,1
71962.0,18.0,Bachelors,Hybrid,0
75000.0,2.0,Bachelors,In-person,1
120000.0,8.0,Masters,Remote,0
200000.0,16.0,Masters,Hybrid,1
107406.0,40.0,Masters,Remote,0
200000.0,8.0,Masters,Hybrid,1
93000.0,27.0,Masters,Remote,1
155250.0,12.0,Bachelors,Remote,1
118147.0,28.0,Bachelors,Hybrid,0
95541.0,44.0,Bachelors,Remote,0
109039.0,33.0,Masters,Remote,0
102000.0,11.0,Bachelors,Remote,1
107887.0,7.0,Bachelors,Remote,0
150000.0,30.0,Bachelors,Remote,1
165000.0,25.0,Bachelors,Remote,1
101910.0,44.0,Bachelors,Hybrid,0
81629.0,20.0,Masters,Remote,0
74874.0,14.0,Masters,Remote,0
120000.0,35.0,Bachelors,Hybrid,1
53703.0,9.0,Masters,In-person,0
91500.0,10.0,Bachelors,In-person,1
140000.0,11.0,Masters,Hybrid,1
97000.0,15.0,Bachelors,Remote,1
29756.0,24.0,Bachelors,Remote,0
135200.0,11.0,Bachelors,Hybrid,1
85983.0,24.0,Masters,Hybrid,0
35000.0,4.0,Bachelors,Hybrid,1
44304.0,25.0,Bachelors,Remote,0
53503.0,6.0,Bachelors,Hybrid,0
23311.0,11.0,Masters,Remote,0
144002.0,10.0,Masters,Hybrid,0
38666.0,5.0,Bachelors,Hybrid,0
110000.0,15.0,Bachelors,In-person,1
71814.0,24.0,Bachelors,Hybrid,0
140000.0,22.0,Bachelors,Remote,1
107406.0,25.0,Bachelors,Hybrid,0
190000.0,30.0,Bachelors,Hybrid,1
95708.0,14.0,Bachelors,Hybrid,0
128887.0,18.0,Masters,Remote,0
40276.0,8.0,Masters,Remote,0
57425.0,24.0,Masters,Remote,0
50467.0,20.0,Bachelors,Remote,0
77332.0,16.0,Masters,Hybrid,0
160000.0,29.0,Masters,Hybrid,1
81681.0,9.0,Masters,Remote,0
53703.0,25.0,Masters,In-person,0
80555.0,10.0,Bachelors,In-person,0
250000.0,27.0,Masters,Remote,1
161109.0,14.0,Masters,Remote,0
69814.0,9.0,Masters,Hybrid,0
150000.0,35.0,Bachelors,Remote,1
103110.0,28.0,Masters,Hybrid,0
93443.0,23.0,Bachelors,Remote,0
138117.0,14.0,Bachelors,Remote,0
95708.0,10.0,Bachelors,Hybrid,0
88000.0,8.0,Bachelors,Hybrid,1
144000.0,30.0,Bachelors,Hybrid,1
29621.0,11.0,Masters,Remote,0
79201.0,20.0,Bachelors,Hybrid,0
64444.0,25.0,Masters,Hybrid,0
120000.0,11.0,Bachelors,Remote,1
70888.0,6.0,Masters,Remote,0
158000.0,21.0,Bachelors,Hybrid,1
107630.0,39.0,Masters,In-person,0
130541.0,15.0,Masters,Remote,0
85184.0,10.0,Bachelors,Hybrid,0
72001.0,27.0,Masters,Remote,0
145000.0,13.0,Bachelors,Hybrid,1
149000.0,9.0,Bachelors,Hybrid,1
90000.0,15.0,Bachelors,Hybrid,1
50000.0,12.0,Bachelors,Remote,0
